Language,Gender,Filename,Text
cn,female,0.wav,tktktt图腾图腾图腾
cn,female,2.wav,投票调查和历史数据显示当考官们倾向于录取那是他们就会问那个问题的问题
cn,female,3.wav,你去呗生活试学院的潜质
cn,female,4.wav,是的我有
cn,female,5.wav,看样子他们把终极问题改
cn,female,6.wav,这是我们必须改用比计划计划计划是天方夜谭孙勇采用了a计划吗就是新的部队进京
cn,female,7.wav,那种房子我们才能买得起这栋房子里才能用
cn,female,8.wav,嗯妈妈
cn,female,9.wav,你真觉得我去呗上卧四的前置吗这个暑假你就去背了因为我给你制定一个计划
cn,female,10.wav,这个计划叫你个人盛大姐大的
cn,female,11.wav,在自己手里要做的顺序是从上到下从左到右现在回来
cn,female,12.wav,时间做准备但是换算成小时就有多少
cn,female,13.wav,我也想留下其他的但是神奇的戴维斯又来了弥勒有没查出凯立德计算错误只是这回辈分司贷到现在我给吓坏了现在只能有我就回来
cn,female,14.wav,我都不确定我能不能做到你能做到的去吧有人声的技能
cn,female,15.wav,妈妈
cn,female,17.wav,先生你是不是又要发送的家飞机了
cn,female,18.wav,IPHONE
cn,female,19.wav,这么多零钱
cn,female,20.wav,隔壁的老爷爷
cn,female,21.wav,现在说是警察叔叔他给我的名称
cn,female,22.wav,汽车放一架飞机在家里还想再后面开
cn,female,23.wav,我打电话给保险公司打过了的表现照片呢给我都拍过了效果差了点还不算太差
cn,female,24.wav,明早给盛宝上打电话然后把隔壁的那个老头彻底忘掉忘掉了
cn,female,25.wav,有一个小王子
cn,female,26.wav,请你给我画只绵羊吧
cn,female,27.wav,请你给我画只绵羊吗
cn,female,28.wav,画画我可不会画画
cn,female,29.wav,这跟我想要的一模一样
cn,female,30.wav,我只是来吧话还给你的
cn,female,31.wav,我很喜欢
cn,female,32.wav,你画的很好你的故事我也读了很入迷
cn,female,33.wav,然后我觉得这故事很快
cn,female,34.wav,我是说很奇特很有趣对于里面的情节我有几个问题可以问
cn,female,35.wav,那么的一个问题这个小孩在沙漠里干什么地点非常奇怪没有水和食物人不可能在沙漠里活很久的父母在哪上学吗真的住在天上吗呼上过的天文课课上没有说其他星球上有生命好像不太可能
cn,female,36.wav,我们还没学过小行星
cn,female,37.wav,小狐狸你叫什么名字
cn,female,38.wav,我记得我对红尘过敏
cn,female,39.wav,大火临头了
cn,female,40.wav,我想你不会有平方吧到了晚上我让你帮我放个玻璃罩的玻璃上了还我高考满足我
cn,female,41.wav,看留下了他一个人
cn,female,42.wav,他去哪里了
cn,female,43.wav,你的招商一团乱今天的学习计划完成了吗
cn,female,44.wav,还没有全部完成
cn,female,45.wav,那你今天一天在干嘛
cn,female,46.wav,多了很多东西
cn,female,47.wav,不行不行不行不行不行不行梅西嗯
cn,female,48.wav,也许
cn,female,49.wav,如果你用功学习严格执行和制定的人生大帝
cn,female,50.wav,那你就可以和你的朋友一起玩明年暑假每周四
cn,female,51.wav,真想见见他
cn,female,52.wav,我觉得我有点不想长大了
cn,female,53.wav,我绝对不想忘记这
cn,female,54.wav,你连想都没有显示不能去旅行
cn,female,55.wav,范冰冰再翻一倍
cn,female,57.wav,嘿嘿嘿嘿嘿
cn,female,58.wav,你们是谁不
cn,female,59.wav,没错但是我不寂寞会有你陪着样
cn,female,60.wav,及时是什么意思啊
cn,female,61.wav,她已经拥有玫瑰
cn,female,62.wav,但是还有两周
cn,female,63.wav,你知不知道今天是我的生日
cn,female,64.wav,妈妈我可屋里等着进去
cn,female,65.wav,天气别去
cn,female,66.wav,你的日程表还停留在昨天是不是显示在睡觉
cn,female,67.wav,朋友他甚至连驾照都没有
cn,female,68.wav,是因为他四次加班有网吧输油管就开车所以驾照被没收了
cn,female,69.wav,说不定你今天就死了妈妈听我解释我不想听你说话你一直在对我撒谎你还对警察撒谎哦对了我差点忘了祝你生日快乐
cn,female,70.wav,对你的人生大计撒谎这个这是一个班几点漯河
cn,female,71.wav,我觉得你眼里她比我更重要你错了
cn,female,72.wav,你和你的人生大计对我来说都很重要这是同一回事这是你的人生只有我一个人把你的人生当回事你理想中的我的人生
cn,female,73.wav,如果你多点时间陪我你就会明白
cn,female,74.wav,为什么我必须拼命工作和他一样
cn,female,75.wav,永远都在埋头工作
cn,female,76.wav,美女不见踪影还有多久
cn,female,77.wav,我认为他从自己的星球逃离的时候可能是借助了迁徙的鸟群的力量
cn,female,80.wav,请帮
cn,female,81.wav,没关系这是最后一次飞机发动起来
cn,female,82.wav,那我们也一定可以找到小王子他会帮助
cn,female,83.wav,我们的想法近义词
cn,female,84.wav,今天麻烦我在飞机里不占地方我保证
cn,female,85.wav,蜘蛛侠我一个人
cn,female,86.wav,发生了什么
cn,female,87.wav,所以但在夜晚仰望星空时你会觉得
cn,female,88.wav,你说他就在天上不是吗
cn,female,89.wav,回到了玫瑰身边
cn,female,90.wav,那你不能确定是他
cn,female,91.wav,希望在你离开后你这样做吗
cn,female,92.wav,大头看天上的星星
cn,female,93.wav,相信你还在我身边
cn,female,94.wav,但是你并不能保证
cn,female,95.wav,不要太帮忙
cn,female,96.wav,明天是这样的日子
cn,female,98.wav,泰州
cn,female,101.wav,幸福过一只像太阳的狐狸
cn,female,102.wav,他不是你的宠物他是你的朋友
cn,female,103.wav,哦哦
cn,female,104.wav,我们可以为
cn,female,105.wav,睡呢你让我把这本书看一遍一遍又一遍知道我变老
cn,female,106.wav,干嘛要知道
cn,female,107.wav,还早呢去学校之前我们要去一趟医院
cn,female,108.wav,不应该对你说
cn,female,109.wav,还给你看个东西
cn,female,110.wav,想跟别人制造羁绊就要承受流泪的风
